molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL4111789,0.15,nM,NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCCC(O)C3)cnc2N)cc1F)c1cccc(Cl)c1,9.82390874094432,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d615bf90>
CHEMBL3966806,0.15,nM,CC(C)c1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4Br)CC3)n2)ccn1,9.82390874094432,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163040>
CHEMBL3943715,0.152,nM,Nc1ncc(C2CCC(O)CC2)nc1-c1ccc(C(=O)N[C@H]2C[C@@H]2c2ccccc2)c(F)c1,9.818156412055227,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61630b0>
CHEMBL3658845,0.1524,nM,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](CN)c4ccccc4)ncc23)ccn1,9.817015032996418,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163120>
CHEMBL4110638,0.153,nM,CCn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.8153085691824,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163190>
CHEMBL4115538,0.158,nM,COCCn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.801342913045575,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163200>
CHEMBL3654722,0.1588,nM,C[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc(=O)n(C)c3)c2cn1)c1ccc(F)cc1,9.799149501908923,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163270>
CHEMBL3663068,0.1591,nM,Cc1cc(-c2n[nH]c3cc(NC(=O)NCc4cccc(S(C)(=O)=O)c4)ncc23)ccn1,9.798329820353418,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61632e0>
CHEMBL3608591,0.16,nM,O=C1c2cc(-c3ccnc(NC4CCOCC4)n3)cn2CCN1[C@H](CO)c1cccc(Cl)c1,9.795880017344077,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163350>
CHEMBL379300,0.16,nM,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,9.795880017344077,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61633c0>
